엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
Ready to Drink,품목,포장형태,캔·병·팩,포장형태,포장형태:캔·병·팩"
건강한,단어,의미,트렌드,트렌드,트렌드:건강한;기쁨(Pleasure)"
기능성 표시·광고,규정,도입,29종 원료,원료,원료:29종"
2020년,연도,적용,기능성 표시·광고 규정,규정,규정:2020년"
국내,국가,분류,알코올 함유 제품,제품,제품:알코올 함유 제품"
무알코올 음료,품목,분류,알코올 미함유,품목,품목:알코올 미함유"
제조사,기업,생산,무알코올 맥주,제품,제품:무알코올 맥주"
소비자,집단,선호,무알코올 음료,제품,제품:무알코올 음료"
국내,국가,수입,음료류,품목,품목:음료류"
중국,국가,수입,음료류,품목,품목:음료류"
2022년,연도,수입액,음료류,액수,액수:3억5029만달러"
베트남,국가,수입,음료류,품목,품목:음료류"
일본,국가,수입,음료류,품목,품목:음료류"
수입,유통경로,비중,오프라인,경로,경로:오프라인"
온라인,경로,비중,수입,경로,경로:온라인"
2022년,연도,시장규모,음료시장,시장,시장:10조 3120억 원"
커피,품목,시장비중,30.8%,비중,비중:30.8%"
탄산음료,품목,시장비중,25.5%,비중,비중:25.5%"
과채음료,품목,시장비중,4.2%,비중,비중:4.2%"
두유,품목,시장비중,4.2%,비중,비중:4.2%"
과채주스,품목,시장비중,4.2%,비중,비중:4.2%"
생수,품목,시장비중,27.4%,비중,비중:27.4%"
에너지음료,품목,시장비중,7.3%,비중,비중:7.3%"
RTD 차,품목,시장비중,6.9%,비중,비중:6.9%"
시장,성장전망,2023~2028년,기간,기간:2023~2028,성장률,연평균 8.5%"
시장,지역,성장률,남미,지역,지역:남미,성장률:연평균 16.9%"
시장,지역,성장률,북미,지역,지역:북미,성장률:연평균 3.6%"
시장,지역,성장률,아시아태평양,지역,지역:아시아태평양,성장률:연평균 2.8%"
시장,지역,성장률,서유럽,지역,지역:서유럽,성장률:연평균 3.7%"
시장,지역,성장률,중동·아프리카,지역,지역:중동·아프리카,성장률:연평균 12.2%"
시장,지역,성장률,동유럽,지역,지역:동유럽,성장률:연평균 6.7%"
시장,지역,성장률,오스트랄라시아,지역,지역:오스트랄라시아,성장률:연평균 3.3%"
브랜드,시장점유율,2023년,코카콜라,브랜드,브랜드:코카콜라,점유율:18.1%"
브랜드,시장점유율,2023년,펩시,브랜드,브랜드:펩시,점유율:7.9%"
브랜드,시장점유율,2023년,다논,브랜드,브랜드:다논,점유율:2.0%"
브랜드,시장점유율,2023년,네슬레,브랜드,브랜드:네슬레,점유율:1.9%"
브랜드,시장점유율,2023년,야후르트,브랜드,브랜드:야후르트,점유율:약 16.4%"
시장,전망,2023~2028년,기간,기간:2023~2028,성장률,연평균 1.6%"
시장,전망,2028년,약 653억 5,100만 달러,시장,시장:약 653억 5,100만 달러"
시장,전망,2023~2028년,기간,기간:2023~2028,성장률,연평균 8.5%"
시장,지역,성장률,남미,지역,지역:남미,성장률:연평균 16.9%"
시장,지역,성장률,북미,지역,지역:북미,성장률:연평균 3.6%"
시장,지역,성장률,아시아태평양,지역,지역:아시아태평양,성장률:연평균 2.8%"
시장,지역,성장률,서유럽,지역,지역:서유럽,성장률:연평균 3.7%"
시장,지역,성장률,중동·아프리카,지역,지역:중동·아프리카,성장률:연평균 12.2%"
시장,지역,성장률,동유럽,지역,지역:동유럽,성장률:연평균 6.7%"
시장,지역,성장률,오스트랄라시아,지역,지역:오스트랄라시아,성장률:연평균 3.3%"
